Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
13324,2,1,3,1,0,1,2,0,6,2,4,1
13325,2,1,2,1,3,1,2,4,6,2,3,1
13326,2,1,2,1,3,1,2,4,6,2,3,1
13327,2,1,2,1,3,3,2,4,4,2,3,4
13328,2,1,2,1,3,3,2,4,4,2,3,4
13329,2,1,3,1,3,1,2,4,6,2,3,4
13330,0,0,0,0,1,4,1,1,5,1,0,6
13331,0,4,4,0,0,0,1,0,1,1,4,3
13332,0,4,4,0,0,0,1,0,1,1,4,3
13333,0,0,0,0,1,4,1,1,5,1,0,6
13334,0,4,3,0,0,1,1,0,6,1,4,1
13335,0,4,4,0,0,0,1,0,1,1,4,3
13336,0,4,4,0,1,0,1,1,1,1,0,3
13337,0,0,0,0,1,4,1,1,5,1,0,6
13338,0,0,0,0,1,4,1,1,5,1,0,6
13339,0,0,0,0,1,4,1,1,5,1,0,6
13340,0,4,4,0,0,0,1,0,1,1,4,3
13341,0,0,0,0,1,4,1,1,5,1,0,6
13342,0,0,0,0,1,6,1,1,3,1,0,0
13343,0,4,0,0,1,0,1,1,1,1,0,3
13344,0,0,0,0,1,4,1,1,5,1,0,6
13345,0,0,0,0,0,4,1,1,5,1,0,6
13346,0,0,0,0,1,4,1,1,5,1,0,6
13347,0,0,0,0,1,4,1,1,5,1,0,6
13348,0,4,4,0,0,0,1,0,1,1,4,3
13349,2,4,3,0,0,1,1,0,6,1,4,1
13350,0,4,4,0,0,1,1,0,6,1,4,1
13351,2,4,3,1,0,1,2,0,6,2,4,1
13352,0,4,4,0,0,1,1,0,6,1,4,1
13353,0,4,0,0,0,4,1,0,5,1,4,6
13354,0,0,0,0,1,4,1,1,5,1,0,6
13355,1,0,5,2,4,6,0,2,3,0,2,0
13356,1,2,1,2,4,2,0,2,2,0,2,5
13357,1,2,1,2,4,2,0,2,2,0,2,5
13358,1,2,5,2,4,6,0,2,3,0,2,0
13359,1,0,5,2,1,6,0,1,3,0,0,0
13360,0,0,0,0,1,6,1,1,3,1,0,0
13361,1,0,5,2,1,6,0,1,3,0,0,0
13362,1,2,5,2,4,6,0,2,3,0,2,0
13363,1,0,5,2,1,6,0,1,3,0,0,0
13364,0,0,0,0,1,4,1,1,5,1,0,6
13365,0,0,0,0,1,4,1,1,5,1,0,6
13366,0,4,4,0,0,0,1,0,1,1,4,3
13367,0,4,4,0,0,0,1,0,1,1,4,3
13368,2,4,3,1,0,1,2,0,6,2,4,1
13369,2,4,3,1,0,1,2,0,6,2,4,1
13370,0,4,4,0,0,0,1,0,1,1,4,3
13371,0,0,0,0,1,6,1,1,3,1,0,0
13372,0,0,5,0,1,6,1,1,3,1,0,0
13373,0,0,0,0,1,4,1,1,5,1,0,6
13374,0,0,0,0,1,4,1,1,5,1,0,6
13375,0,0,0,0,1,6,1,1,3,1,0,0
13376,1,0,5,2,1,6,0,1,3,0,0,0
13377,0,0,5,0,1,6,1,1,3,1,0,0
13378,0,4,4,0,1,0,1,1,1,1,0,3
13379,0,4,4,0,1,0,1,1,1,1,0,3
13380,0,0,5,2,1,6,0,1,3,0,0,0
13381,1,2,1,2,4,2,0,2,2,0,2,5
13382,1,2,1,2,4,2,0,2,2,0,2,5
13383,1,2,5,2,4,6,0,2,3,0,2,0
