Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
20893,0,3,6,1,4,0,0,0,0,0,0,0
20894,0,3,6,1,4,0,0,0,0,0,0,0
20895,0,3,6,1,4,0,0,0,0,0,0,0
20896,0,3,6,1,4,0,0,0,0,0,0,0
20897,2,4,0,2,3,5,2,4,1,2,4,1
20898,1,4,0,0,3,5,1,4,1,1,4,1
20899,2,4,2,2,0,3,2,2,4,2,2,4
20900,2,4,2,2,0,3,2,2,4,2,2,4
20901,2,4,2,2,3,3,2,4,4,2,4,4
20902,2,4,2,2,3,5,2,4,4,2,4,4
20903,2,2,2,2,0,3,2,2,4,2,2,4
20904,2,4,0,2,3,5,2,4,1,2,4,1
20905,2,2,2,2,0,3,2,2,4,2,2,4
20906,2,2,2,2,0,3,2,2,4,2,2,4
20907,2,4,2,2,3,5,2,4,1,2,4,1
20908,1,0,4,0,1,1,1,1,2,1,1,2
20909,1,0,4,0,1,1,1,1,2,1,1,2
20910,1,0,4,0,1,1,1,1,2,1,1,2
20911,1,4,0,0,3,5,1,4,1,1,4,1
20912,1,0,4,0,1,1,1,1,2,1,1,2
20913,1,0,4,0,1,1,1,1,2,1,1,2
20914,2,4,2,2,3,5,2,4,1,2,4,1
20915,2,4,2,2,3,3,2,4,4,2,4,4
20916,1,4,0,2,3,5,2,4,1,2,4,1
20917,1,4,0,0,3,5,1,4,1,1,4,1
20918,2,4,0,2,3,5,2,4,1,2,4,1
20919,1,4,0,2,3,5,2,4,1,2,4,1
20920,1,4,0,2,3,5,2,4,1,2,4,1
20921,2,4,2,2,0,3,2,2,4,2,2,4
20922,0,3,6,1,4,0,0,0,0,0,0,0
20923,0,2,6,1,0,3,0,2,4,0,2,4
20924,2,2,6,2,0,3,2,2,4,2,2,4
20925,0,3,6,1,4,0,0,0,0,0,0,0
20926,0,3,1,1,4,6,0,0,6,0,0,6
20927,0,3,1,1,4,6,0,0,6,0,0,6
20928,0,3,6,1,4,6,0,0,6,0,0,6
20929,2,2,2,2,0,3,2,2,4,2,2,4
20930,1,4,0,0,3,5,2,4,1,2,4,1
20931,1,0,4,0,1,1,1,1,2,1,1,2
20932,1,0,4,0,1,1,1,1,2,1,1,2
20933,1,4,0,0,3,5,1,4,1,1,4,1
20934,1,4,0,0,3,5,1,4,1,1,4,1
20935,1,0,4,0,1,1,1,1,2,1,1,2
20936,1,4,0,0,1,5,1,4,2,1,4,2
20937,1,4,0,0,3,5,1,4,1,1,4,1
20938,1,4,0,0,3,5,1,4,1,1,4,1
20939,1,0,4,0,1,1,1,1,2,1,1,2
20940,1,0,4,0,1,1,1,1,2,1,1,2
20941,1,0,4,0,1,1,1,1,2,1,1,2
20942,1,0,4,0,1,1,1,1,2,1,1,2
20943,1,0,5,0,1,4,1,1,5,1,1,5
20944,1,0,5,0,1,4,1,1,5,1,1,5
20945,2,2,2,2,3,3,2,4,4,2,4,4
20946,0,3,1,1,4,0,0,0,0,0,0,0
20947,0,3,1,1,4,0,0,0,0,0,0,0
20948,0,3,1,1,4,0,0,0,0,0,0,0
20949,0,3,6,1,4,0,0,0,0,0,0,0
20950,2,2,6,2,0,3,0,2,4,0,2,4
20951,0,3,1,1,4,6,0,0,6,0,0,6
20952,0,3,1,1,4,6,0,0,6,0,0,6
20953,0,3,1,1,4,6,0,0,6,0,0,6
20954,0,1,3,1,2,2,0,3,3,0,3,3
20955,0,1,3,1,2,2,0,3,3,0,3,3
20956,2,4,2,2,2,2,2,3,3,2,3,3
20957,2,1,2,2,2,2,2,3,3,2,3,3
20958,2,1,3,2,2,2,2,3,3,2,3,3
20959,2,1,3,2,2,2,2,3,3,2,3,3
20960,2,1,2,2,2,2,2,3,1,2,3,1
20961,2,1,3,2,2,2,2,3,3,2,3,3
20962,2,1,3,2,2,2,2,3,3,2,3,3
20963,2,1,3,2,2,2,2,3,3,2,3,3
20964,2,1,3,2,2,2,2,3,3,2,3,3
20965,0,1,3,1,2,2,0,3,3,0,3,3
20966,0,1,3,1,2,2,0,3,3,0,3,3
20967,0,1,3,1,2,2,0,3,3,0,3,3
20968,0,1,3,2,2,2,2,3,3,2,3,3
20969,2,1,3,2,2,2,2,3,3,2,3,3
20970,2,1,3,2,2,2,2,3,3,2,3,3
20971,0,1,3,2,2,2,0,3,3,0,3,3
20972,2,1,3,2,2,2,2,3,3,2,3,3
20973,0,1,3,2,2,2,2,3,3,2,3,3
20974,0,1,3,2,2,2,2,3,3,2,3,3
20975,2,1,3,2,2,2,2,3,3,2,3,3
20976,0,1,3,2,2,2,2,3,3,2,3,3
20977,1,0,5,0,1,4,1,1,5,1,1,5
20978,1,0,4,0,1,1,1,1,5,1,1,5
20979,1,0,5,0,1,4,1,1,5,1,1,5
20980,1,4,5,0,3,4,1,1,5,1,1,5
20981,2,4,2,2,3,3,2,4,1,2,4,1
20982,1,0,5,0,1,4,1,1,5,1,1,5
20983,1,0,5,0,1,4,1,1,5,1,1,5
