Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
501,2,2,6,2,4,6,2,3,2,2,2,2
502,2,2,4,2,4,6,2,3,2,2,2,2
503,2,2,6,2,4,6,2,3,2,2,2,2
504,2,2,6,2,4,6,2,3,2,2,2,2
505,2,2,4,2,4,6,2,3,2,2,2,2
506,2,2,4,2,4,6,2,3,2,2,2,2
507,1,3,3,2,0,4,2,1,0,2,4,4
508,1,3,3,2,0,4,2,1,0,2,4,4
509,2,3,4,2,0,4,2,1,0,2,4,4
510,2,2,4,2,4,6,2,3,2,2,2,2
511,1,3,3,2,0,4,2,1,0,2,4,4
512,1,3,3,2,0,4,2,1,0,2,4,4
513,1,3,3,2,0,4,2,1,0,2,4,4
514,1,3,3,2,0,4,2,1,0,2,4,4
515,2,3,4,2,0,6,2,3,2,2,2,2
516,2,2,4,2,4,6,2,3,2,2,2,2
517,2,2,4,2,4,6,2,3,2,2,2,2
518,2,3,4,2,0,4,2,1,0,2,4,4
519,1,3,4,2,0,4,2,1,0,2,4,4
520,2,2,4,2,4,6,2,3,2,2,2,2
521,2,2,4,2,4,6,2,3,2,2,2,2
522,2,2,6,2,4,6,2,3,2,2,2,2
