Algorithm,Date 1,Date 2,Date 3,Error,K,MAE,Mask,Pairs,Predicted Date,RMSE,R^2,Region,Type,W,correlation,method,signal
ESTARFM,20170726,20170827,,-0.012922768,6,0.020558859,None,,20170811,0.027108764,0.962964308,Santar,Original,7,0.98559336,,Reflectance
ESTARFM,20170726,20170827,,-0.012805264,8,0.020605384,None,,20170811,0.028974884,0.957689862,Santar,Original,7,0.982923765,,Reflectance
ESTARFM,20170726,20170827,,-0.012773792,4,0.020391675,None,,20170811,0.026562413,0.964442102,Santar,Original,9,0.986225845,,Reflectance
ESTARFM,20170726,20170827,,-0.012821449,6,0.020521199,None,,20170811,0.026775515,0.963869273,Santar,Original,9,0.985994698,,Reflectance
ESTARFM,20170726,20170827,,-0.012909738,8,0.020523165,None,,20170811,0.026841764,0.96369026,Santar,Original,9,0.98596487,,Reflectance
ESTARFM,20170701,20170717,,-0.014553042,4,0.023785071,None,,20170802,0.037255356,0.945776088,SCTSCL,Original,3,0.976979521,,NDVI
ESTARFM,20170701,20170717,,-0.014626376,6,0.023920245,None,,20170802,0.037550619,0.944913191,SCTSCL,Original,3,0.976573488,,NDVI
ESTARFM,20170701,20170717,,-0.014731976,8,0.024089256,None,,20170802,0.037914752,0.943839645,SCTSCL,Original,3,0.976077493,,NDVI
ESTARFM,20170701,20170717,,-0.014350248,4,0.023647921,None,,20170802,0.037138937,0.946114446,SCTSCL,Original,5,0.977030638,,NDVI
ESTARFM,20170701,20170717,,-0.014451123,6,0.02382928,None,,20170802,0.03746563,0.945162267,SCTSCL,Original,5,0.976587537,,NDVI
ESTARFM,20170701,20170717,,-0.014579135,8,0.024037409,None,,20170802,0.037873124,0.943962897,SCTSCL,Original,5,0.976041951,,NDVI
ESTARFM,20170701,20170717,,-0.014211134,4,0.023574954,None,,20170802,0.037097197,0.9462355,SCTSCL,Original,7,0.97700589,,NDVI
ESTARFM,20170701,20170717,,-0.014344948,6,0.023758037,None,,20170802,0.037359678,0.945471987,SCTSCL,Original,7,0.976680321,,NDVI
ESTARFM,20170701,20170717,,-0.014463409,8,0.023948381,None,,20170802,0.037710951,0.944441771,SCTSCL,Original,7,0.976217918,,NDVI
ESTARFM,20170701,20170717,,-0.014144489,4,0.023540979,None,,20170802,0.037059412,0.946344967,SCTSCL,Original,9,0.977024921,,NDVI
ESTARFM,20170701,20170717,,-0.014274731,6,0.023707191,None,,20170802,0.037297889,0.945652205,SCTSCL,Original,9,0.976731046,,NDVI
ESTARFM,20170701,20170717,,-0.01438969,8,0.023917608,None,,20170802,0.037670197,0.94456179,SCTSCL,Original,9,0.976234545,,NDVI
ESTARFM,20170701,20170717,,-0.014851858,4,0.024281761,None,,20170802,0.039333376,0.939558412,SCTSCL,Original,3,0.974377372,,Reflectance
ESTARFM,20170701,20170717,,-0.014595089,6,0.024929748,None,,20170802,0.047963534,0.910125649,SCTSCL,Original,3,0.958457782,,Reflectance
ESTARFM,20170701,20170717,,-0.014209224,8,0.024645469,None,,20170802,0.049085854,0.905870422,SCTSCL,Original,3,0.956714647,,Reflectance
ESTARFM,20170701,20170717,,-0.014605484,4,0.024043218,None,,20170802,0.037713249,0.944435001,SCTSCL,Original,5,0.976250527,,Reflectance
ESTARFM,20170701,20170717,,-0.014856081,6,0.024418347,None,,20170802,0.039263311,0.939773552,SCTSCL,Original,5,0.973958234,,Reflectance
ESTARFM,20170701,20170717,,-0.01451456,8,0.023968426,None,,20170802,0.037811102,0.944146281,SCTSCL,Original,5,0.976059091,,Reflectance
ESTARFM,20170701,20170717,,-0.014515541,4,0.024032143,None,,20170802,0.037792686,0.944200678,SCTSCL,Original,7,0.976066071,,Reflectance
ESTARFM,20170701,20170717,,-0.014818698,6,0.024339859,None,,20170802,0.038122339,0.943222992,SCTSCL,Original,7,0.975760222,,Reflectance
ESTARFM,20170701,20170717,,-0.014415289,8,0.023905162,None,,20170802,0.037669465,0.944563944,SCTSCL,Original,7,0.976208632,,Reflectance
ESTARFM,20170701,20170717,,-0.014423318,4,0.023946773,None,,20170802,0.037589949,0.944797738,SCTSCL,Original,9,0.976322651,,Reflectance
ESTARFM,20170701,20170717,,-0.014773305,6,0.024356544,None,,20170802,0.038105901,0.943271946,SCTSCL,Original,9,0.97575608,,Reflectance
ESTARFM,20170701,20170717,,-0.014347969,8,0.023900278,None,,20170802,0.03760457,0.944754783,SCTSCL,Original,9,0.976263899,,Reflectance
ESTARFM,20170717,20170818,20170919,-0.002666137,4,0.063872043,None,,20170802,0.11277744,0.783472055,BenRib,Original,3,0.902086295,,NDVI
ESTARFM,20170717,20170818,20170919,-0.0026299,6,0.063788478,None,,20170802,0.112837185,0.78324258,BenRib,Original,3,0.901780936,,NDVI
ESTARFM,20170717,20170818,20170919,-0.001957056,8,0.0639311,None,,20170802,0.113545453,0.780512908,BenRib,Original,3,0.900069685,,NDVI
ESTARFM,20170717,20170818,20170919,-0.003985041,4,0.06415317,None,,20170802,0.113120301,0.782153499,BenRib,Original,5,0.901743625,,NDVI
ESTARFM,20170717,20170818,20170919,-0.003756955,6,0.064204927,None,,20170802,0.113389363,0.78111595,BenRib,Original,5,0.900890206,,NDVI
ESTARFM,20170717,20170818,20170919,-0.003038969,8,0.064303723,None,,20170802,0.114472258,0.776915195,BenRib,Original,5,0.898170144,,NDVI
ESTARFM,20170717,20170818,20170919,-0.005260383,4,0.064137788,None,,20170802,0.112978596,0.782698943,BenRib,Original,7,0.902235191,,NDVI
ESTARFM,20170717,20170818,20170919,-0.005082661,6,0.064154241,None,,20170802,0.113324829,0.781365028,BenRib,Original,7,0.901297235,,NDVI
ESTARFM,20170717,20170818,20170919,-0.004304061,8,0.064343606,None,,20170802,0.114844017,0.775463867,BenRib,Original,7,0.897494831,,NDVI
ESTARFM,20170717,20170818,20170919,-0.006699901,4,0.06388375,None,,20170802,0.112671391,0.783879083,BenRib,Original,9,0.902936493,,NDVI
ESTARFM,20170717,20170818,20170919,-0.006632745,6,0.063891027,None,,20170802,0.113216561,0.781782584,BenRib,Original,9,0.901669219,,NDVI
ESTARFM,20170717,20170818,20170919,-0.005803961,8,0.064098504,None,,20170802,0.114811823,0.775589736,BenRib,Original,9,0.897618442,,NDVI
ESTARFM,20170717,20170818,20170919,0.02123453,4,0.06886767,None,,20170802,0.107562897,0.803032548,BenRib,Original,3,0.919688151,,Reflectance
ESTARFM,20170717,20170818,20170919,0.021816645,6,0.068375206,None,,20170802,0.10686678,0.805573735,BenRib,Original,3,0.920801725,,Reflectance
ESTARFM,20170717,20170818,20170919,0.022402676,8,0.069497824,None,,20170802,0.10836574,0.800081266,BenRib,Original,3,0.917986438,,Reflectance
ESTARFM,20170717,20170818,20170919,0.021374298,4,0.069170043,None,,20170802,0.10742908,0.803522329,BenRib,Original,5,0.92011838,,Reflectance
ESTARFM,20170717,20170818,20170919,0.022195065,6,0.068562195,None,,20170802,0.106702267,0.806171882,BenRib,Original,5,0.921192579,,Reflectance
ESTARFM,20170717,20170818,20170919,0.022949787,8,0.069963927,None,,20170802,0.108733033,0.798723767,BenRib,Original,5,0.917331169,,Reflectance
ESTARFM,20170717,20170818,20170919,0.021205194,4,0.069379973,None,,20170802,0.107274637,0.804086847,BenRib,Original,7,0.920480125,,Reflectance
ESTARFM,20170717,20170818,20170919,0.022177919,6,0.068556001,None,,20170802,0.106512346,0.806861262,BenRib,Original,7,0.921403015,,Reflectance
ESTARFM,20170717,20170818,20170919,0.022879246,8,0.069889497,None,,20170802,0.108442398,0.799798322,BenRib,Original,7,0.917714087,,Reflectance
ESTARFM,20170717,20170818,20170919,0.020934792,4,0.069581358,None,,20170802,0.107206295,0.80433639,BenRib,Original,9,0.920432416,,Reflectance
ESTARFM,20170717,20170818,20170919,0.021869751,6,0.068521795,None,,20170802,0.106317043,0.807568898,BenRib,Original,9,0.921496803,,Reflectance
ESTARFM,20170717,20170818,20170919,0.022583659,8,0.069850182,None,,20170802,0.108150155,0.800875922,BenRib,Original,9,0.918036551,,Reflectance
ESTARFM,20170710,20170912,20170928,-0.009477053,4,0.025057666,None,,20170811,0.052076108,0.916404607,BGL,Original,3,0.958882617,,NDVI
ESTARFM,20170710,20170912,20170928,-0.009693277,6,0.025111385,None,,20170811,0.052299826,0.915684818,BGL,Original,3,0.958588199,,NDVI
ESTARFM,20170710,20170912,20170928,-0.009191745,8,0.025102941,None,,20170811,0.052253707,0.915833453,BGL,Original,3,0.958507568,,NDVI
ESTARFM,20170710,20170912,20170928,-0.009425414,4,0.024898931,None,,20170811,0.051721115,0.91754043,BGL,Original,5,0.959505381,,NDVI
ESTARFM,20170710,20170912,20170928,-0.009590932,6,0.024959242,None,,20170811,0.051924784,0.916889727,BGL,Original,5,0.959254722,,NDVI
ESTARFM,20170710,20170912,20170928,-0.00901707,8,0.025047376,None,,20170811,0.052106069,0.916308391,BGL,Original,5,0.958783582,,NDVI
ESTARFM,20170710,20170912,20170928,-0.009284826,4,0.024573662,None,,20170811,0.051265378,0.918987203,BGL,Original,7,0.960239265,,NDVI
ESTARFM,20170710,20170912,20170928,-0.009437033,6,0.024665977,None,,20170811,0.051584822,0.917974444,BGL,Original,7,0.959812693,,NDVI
ESTARFM,20170710,20170912,20170928,-0.008842819,8,0.024694259,None,,20170811,0.051482001,0.918301111,BGL,Original,7,0.959804133,,NDVI
ESTARFM,20170710,20170912,20170928,-0.009257638,4,0.024229135,None,,20170811,0.050875641,0.920214296,BGL,Original,9,0.960814751,,NDVI
ESTARFM,20170710,20170912,20170928,-0.00937921,6,0.024489341,None,,20170811,0.051615404,0.917877158,BGL,Original,9,0.959678036,,NDVI
ESTARFM,20170710,20170912,20170928,-0.00870922,8,0.024367231,None,,20170811,0.051207252,0.919170807,BGL,Original,9,0.960182514,,NDVI
ESTARFM,20170710,20170912,20170928,-0.017980451,4,0.038260404,None,,20170811,0.064362139,0.87230725,BGL,Original,3,0.939036596,,Reflectance
ESTARFM,20170710,20170912,20170928,-0.017486195,6,0.038465811,None,,20170811,0.064425712,0.87205487,BGL,Original,3,0.938563041,,Reflectance
ESTARFM,20170710,20170912,20170928,-0.017445976,8,0.038100149,None,,20170811,0.063881496,0.874207295,BGL,Original,3,0.939751376,,Reflectance
ESTARFM,20170710,20170912,20170928,-0.018112151,4,0.038411307,None,,20170811,0.06448269,0.871828463,BGL,Original,5,0.938852803,,Reflectance
ESTARFM,20170710,20170912,20170928,-0.017392652,6,0.038684641,None,,20170811,0.064714595,0.870904894,BGL,Original,5,0.937903711,,Reflectance
ESTARFM,20170710,20170912,20170928,-0.017385137,8,0.038147321,None,,20170811,0.064143487,0.873173375,BGL,Original,5,0.939164923,,Reflectance
ESTARFM,20170710,20170912,20170928,-0.017921354,4,0.038257072,None,,20170811,0.06401976,0.873662178,BGL,Original,7,0.939784009,,Reflectance
ESTARFM,20170710,20170912,20170928,-0.017391236,6,0.038603056,None,,20170811,0.06415134,0.87314232,BGL,Original,7,0.93912672,,Reflectance
ESTARFM,20170710,20170912,20170928,-0.017272742,8,0.038018701,None,,20170811,0.063541622,0.875542264,BGL,Original,7,0.940404357,,Reflectance
